سوال,پاسخ
عدم تکمیل پرونده دانشجویی چه مشکلی ایجاد می‌کند؟,دانشجویانی که دارای نقص پرونده باشند، امکان شرکت در انتخاب واحد، دریافت کارت ورود به جلسه امتحان و ثبت درخواست فارغ‌التحصیلی را نخواهند داشت.
نظام آموزشی دانشگاه بر چه اساسی است؟,آموزش در دانشگاه تربیت دبیر شهید رجایی مبتنی بر نظام ترمی (۳ واحدی) است.
زبان تدریس در دانشگاه چیست؟,آموزش در دانشگاه صرفاً به زبان فارسی است، به جز رشته‌های زبان‌های خارجی.
آیا آموزش رایگان برای هر دوره تحصیلی فقط یک‌بار امکان‌پذیر است؟,بله، آموزش رایگان برای هر دانشجو در هر دوره تحصیلی تنها یک‌بار امکان‌پذیر است.
هر نیمسال تحصیلی چند هفته است؟,هر سال تحصیلی شامل دو نیمسال است و هر نیمسال ۱۸ هفته آموزشی دارد که دو هفته از آن به برگزاری امتحانات پایانی و تصحیح اوراق اختصاص می‌یابد.
بازه تابستان دانشگاه چند هفته است؟,بازه تابستان (در صورت برگزاری توسط دانشگاه) شامل ۶ هفته آموزشی و یک هفته امتحانات پایانی است.
کلاس‌های درس به چه صورت برگزار می‌شود؟,کلاس‌های درس به‌صورت حضوری برگزار می‌شود.
چه ارکانی در امور آموزشی دانشجو تصمیم‌گیری می‌کنند؟,عناصر مؤثر در امور آموزشی دانشجو شامل شورای آموزشی دانشگاه، کمیسیون موارد خاص دانشگاه، معاون آموزشی و تحصیلات تکمیلی دانشگاه، مدیر آموزش و مدیر تحصیلات تکمیلی، و شورای آموزشی دانشکده است.
دروس دانشگاهی از نظر محتوا به چه دسته‌هایی تقسیم می‌شوند؟,دروس دانشگاهی از لحاظ محتوا به دسته‌های عمومی (توسعه اطلاعات عمومی، الزامی برای همه)، پایه (تقویت بنیه علمی برای دروس تخصصی)، اصلی (اساس رشته تخصصی)، تخصصی (افزایش توان علمی و عملی در رشته)، اختیاری و تربیتی تقسیم می‌شوند. دانشجویان متعهد خدمت دبیری علاوه بر این‌ها باید دروس صلاحیت معلمی را نیز بگذرانند.
تفاوت دروس الزامی و اختیاری چیست؟,دروس الزامی، دروسی هستند که گذراندن آن‌ها در طول دوره برای دانشجو اجباری است و قابل تعویض نیستند. دروس اختیاری، دروسی هستند که دانشجو با موافقت دانشکده به اختیار خود اخذ می‌کند.
درس پیش‌نیاز به چه معناست؟,درس پیش‌نیاز (وابسته) درسی است که انتخاب آن منوط به گذراندن درس دیگری یا اخذ همزمان با آن است. درس مستقل برخلاف آن، درسی است که انتخابش منوط به گذراندن درس دیگری نیست.
آیا اخذ همزمان یک درس با پیش‌نیاز یا هم‌نیاز آن مجاز است؟,خیر، اخذ همزمان یک درس با درس پیش‌نیاز یا هم‌نیازی آن ممنوع است و در صورت عدم رعایت این شرط، درس مورد نظر گذرانده‌شده تلقی نخواهد شد.
درس نظری و عملی چه فرقی دارند؟,درس نظری، درسی است که به صورت خطابه، کنفرانس، سمینار و بحث ارائه می‌شود. درس عملی، درسی است حاوی مجموعه مهارت‌هایی که انتقال آن‌ها نیاز به تمرین، کارگاه یا آزمایشگاه دارد. برخی دروس نیز به‌صورت نظری-عملی ارائه می‌شوند.
حداکثر غیبت مجاز در یک درس چقدر است؟,دانشجو موظف است در تمام جلسات کلاس شرکت کند. چنانچه دانشجو در بیش از ۳ شانزدهم (۳/۱۶) جلسات کلاس و جلسه امتحان پایان‌ترم غیبت کند، نمره آن درس صفر ثبت می‌شود.
اگر غیبت دانشجو موجه تشخیص داده شود چه اتفاقی می‌افتد؟,در صورتی که شورای آموزشی دانشگاه غیبت دانشجو را موجه تشخیص دهد، همچنان نمره آن درس صفر ثبت می‌شود، اما آن درس از مجموع دروس آن نیمسال حذف می‌گردد.
چه کسی مسئول ثبت حضور و غیاب کلاس است؟,نظارت بر حضور و غیاب دانشجو در کلاس به عهده مدرس درس است. مدرس موظف است حضور و غیاب هر جلسه را ثبت و مطابق ضوابط دانشگاه گزارش کند، و دانشگاه نیز باید آمار برگزاری کلاس‌ها را در سامانه جامع آموزشی ثبت کند.
اگر غیبت دانشجو ناشی از بیماری مزمن باشد چه راهی وجود دارد؟,اگر غیبت دانشجو ناشی از بیماری مزمن و مدت‌دار و بیش از ۳/۱۶ جلسات باشد، حداکثر تا دو هفته بعد از بهبودی، امکان حذف پزشکی درس با تأیید مدارک پزشکی توسط پزشک معتمد دانشگاه وجود دارد.
برگزاری امتحان کتبی برای دروس نظری اجباری است؟,بله، برگزاری آزمون کتبی برای دروس نظری الزامی است.
اگر دانشجو در جلسه امتحان غایب شود چه نمره‌ای می‌گیرد؟,چنانچه دانشجو در جلسه امتحان غیبت کند، نمره آن درس صفر ثبت می‌شود، مگر اینکه شورای آموزشی دانشگاه غیبت او را موجه تشخیص دهد که در این صورت طبق نظر شورا عمل خواهد شد.
تخلفات امتحانی شامل چه مواردی می‌شود؟,تخلفات امتحانی شامل موارد زیر است: همراه داشتن گوشی همراه، ساعت یا وسایل هوشمند در جلسه امتحان؛ آوردن ماشین‌حساب، تبلت یا هر وسیله غیرمجاز دیگر؛ نگاه کردن به ورقه دانشجوی دیگر؛ نشان دادن پاسخنامه به دیگری؛ ایجاد سر و صدا و اخلال در جریان آزمون؛ فرستادن فرد دیگری به جای خود؛ آوردن کتاب یا جزوه غیرمجاز؛ و ترک جلسه امتحان بدون حق بازگشت مگر در شرایط حاد بیماری.
مجازات تخلف امتحانی چیست؟,در صورت تخلف امتحانی، موضوع طی صورتجلسه امتحان مستقیماً به کمیته انضباطی دانشگاه ارجاع می‌شود. در صورت تأیید کمیته، نمره ۰.۲۵ برای دانشجو ثبت می‌شود و تخلف امتحانی در وضعیت نمره او درج می‌شود؛ همچنین امکان استفاده از حذف آیین‌نامه‌ای درس مذکور از دانشجو سلب می‌گردد.
مهلت اعتراض دانشجو به نمره چقدر است؟,مهلت اعتراض به نمره توسط دانشجو، ۴۸ ساعت از زمان اعلام نمره در سامانه جامع آموزشی است. این مهلت به صلاحدید استاد درس تا حداکثر ۱۰ روز قابل افزایش است.
چقدر زمان برای اعتراض به نمره امتحان داریم؟,دانشجو ۴۸ ساعت پس از اعلام نمره در سامانه فرصت دارد تا به آن اعتراض کند، و استاد می‌تواند این بازه را تا ۱۰ روز تمدید کند.
استاد چه مهلتی برای ثبت نمره درس دارد؟,مدرس درس موظف است حداکثر ۱۰ روز پس از برگزاری آزمون، نمرات را در سامانه جامع آموزش دانشگاه ثبت کند تا امکان رسیدگی به اعتراضات دانشجویان فراهم شود.
نمره دانشجو چگونه و در چند مرحله نهایی و قطعی می‌شود؟,نمرات دانشجو در سه مرحله نهایی می‌شود: ابتدا قفل استاد، سپس قفل دانشکده، و در نهایت قفل آموزش. پس از قفل آموزش، نمره قطعی اعلام شده و قابل تغییر نخواهد بود.
بعد از قطعی شدن نمره، آیا امکان تغییر آن وجود دارد؟,نمره پس از قفل آموزش عموماً غیرقابل تغییر است. اما در شرایط خاص، تغییر نمرات نهایی شده حداکثر تا دو هفته بعد از قفل آموزش، با حضور استاد در جلسه شورای آموزشی دانشگاه و ارائه دلایل و موافقت شورا امکان‌پذیر است.
انواع مرخصی بدون احتساب در سنوات چیست و هرکدام چقدر مدت دارد؟,مرخصی‌های بدون احتساب در سنوات شامل سه نوع است: مرخصی زایمان برای دانشجویان مادر (حداکثر ۴ نیمسال در طول تحصیل برای هر فرزند، طبق قانون حمایت از خانواده و جوانی جمعیت)، مرخصی پزشکی (حداکثر دو نیمسال تحصیلی)، و مرخصی تحصیلی ناشی از موارد ضروری مانند مأموریت یا فوت والدین/همسر (حداکثر دو نیمسال تحصیلی).
شرایط مرخصی تحصیلی چیست؟,دانشجو می‌تواند با ثبت درخواست در سامانه جامع آموزشی، از دو نوع مرخصی تحصیلی استفاده کند: مرخصی با احتساب در سنوات (حداکثر ۱ نیمسال در کاردانی/کارشناسی ناپیوسته و تا ۲ نیمسال در کارشناسی پیوسته)، یا مرخصی بدون احتساب در سنوات که شامل مرخصی زایمان (حداکثر ۴ نیمسال)، مرخصی پزشکی (حداکثر ۲ نیمسال) و مرخصی ضروری مانند مأموریت یا فوت والدین/همسر (حداکثر ۲ نیمسال) می‌شود. تأیید نهایی این درخواست‌ها بر عهده شورای آموزشی دانشکده یا کمیسیون موارد خاص دانشگاه است.
مرخصی زایمان برای دانشجویان دختر چند نیمسال است؟,مرخصی زایمان برای دانشجویان مادر حداکثر به میزان قانون حمایت از خانواده و جوانی جمعیت است؛ برای هر فرزند حداکثر ۴ نیمسال در طول دوره تحصیل (دو نیمسال قبل و دو نیمسال پس از زایمان) در نظر گرفته می‌شود.
مرخصی پزشکی حداکثر چند نیمسال قابل استفاده است؟,مرخصی پزشکی حداکثر تا دو نیمسال تحصیلی قابل استفاده است و منوط به تأیید درخواست در کمیسیون موارد خاص دانشگاه است.
مرخصی با احتساب در سنوات چقدر مدت دارد؟,دانشجو می‌تواند با رعایت سقف سنوات مجاز تحصیل، در دوره کاردانی و کارشناسی ناپیوسته یک نیمسال، و در دوره کارشناسی پیوسته تا دو نیمسال، با ثبت تقاضا در سامانه و موافقت دانشگاه، از مرخصی تحصیلی با احتساب در سنوات استفاده کند.
درخواست مرخصی تحصیلی از چه مسیری در سامانه ثبت می‌شود؟,درخواست مرخصی تحصیلی (با احتساب یا بدون احتساب در سنوات) از مسیر «پیش‌خوان خدمت / درخواست بررسی مشکلات آموزشی / درخواست جدید» در سامانه جامع آموزش دانشگاه ثبت می‌شود و شورای آموزشی دانشکده باید ظرف یک هفته پاسخ خود را اعلام کند.
آیا دانشجو می‌تواند بیش از یک‌بار انصراف از تحصیل بدهد؟,خیر، دانشجوی متقاضی انصراف از تحصیل فقط یک‌بار مجاز است که درخواست خود را شخصاً در سامانه جامع آموزشی ثبت کند.
بعد از ثبت درخواست انصراف، چقدر فرصت برای پس گرفتن آن وجود دارد؟,دانشجو تا حداکثر دو ماه از تاریخ ثبت درخواست انصراف می‌تواند آن را پس بگیرد. پس از انقضای این مهلت، حکم انصراف صادر می‌شود و امکان بازگشت وجود ندارد.
عدم انتخاب واحد در یک نیمسال چه پیامدی دارد؟,عدم انتخاب واحد در هر نیمسال تحصیلی، به عنوان انصراف از تحصیل تلقی می‌شود. اگر وضعیت آموزشی دانشجو در آن نیمسال تعیین تکلیف نشود، بعد از پایان نیمسال، وضعیت او انصراف از تحصیل بدون تسویه‌حساب تلقی می‌گردد.
در صورت انصراف، دانشجوی شهریه‌پرداز باید چقدر شهریه بپردازد؟,جدول کسر شهریه دانشجوی انصرافی به این شرح است: انصراف در چهار هفته اول آموزش ۲۵ درصد شهریه، در چهار هفته دوم ۵۰ درصد، در چهار هفته سوم ۷۵ درصد، و بعد از هفته دوازدهم ۱۰۰ درصد شهریه بر عهده دانشجو خواهد بود.
اگر دانشجوی ورودی ۱۴۰۲ به بعد در یک درس مردود شود و بعداً آن را با نمره قبولی بگذراند، نمره مردودی در معدل چه تأثیری دارد؟,برای دانشجویان ورودی ۱۴۰۲ و بعد از آن، در صورت گذراندن مجدد درس با نمره قبولی، نمره قبولی در ریزنمرات ثبت می‌شود اما نمره مردود قبلی نیز در محاسبه میانگین کل دوره اثر می‌گذارد (لحاظ می‌شود).
برای دانشجویان ورودی ۱۴۰۱ و قبل از آن، نمره مردودی قبلی در معدل کل چه تأثیری دارد؟,برای دانشجویان ورودی ۱۴۰۱ و قبل از آن، اگر درس مردودی در نیمسال بعد با نمره قبولی گذرانده شود، فقط نمره قبولی در محاسبه میانگین کل دوره لحاظ می‌شود و نمرات مردودی قبلی در معدل بی‌اثر خواهند بود؛ اما همه نمرات همچنان در ریزنمرات باقی می‌مانند.
شرایط معادلسازی دروس گذرانده‌شده چیست؟,برای معادلسازی، دانشجو باید درس مورد نظر را با حداقل نمره قابل قبول ۱۰ از ۲۰ گذرانده و نمره حداقل ۱۲ کسب کرده باشد. دروسی که منجر به اخذ مدرک تحصیلی شده باشند (برای ورودی ۱۴۰۲ و بعد) قابل معادلسازی نیستند و فقط نمرات دروس پذیرفته‌شده در معدل کل دانشجو محاسبه می‌شود.
حداکثر واحدهای قابل معادلسازی و پذیرش چقدر است؟,حداکثر واحدهای قابل تطبیق و پذیرش نباید بیش از ۵۰ درصد کل واحدهای درسی رشته باشد.
معادلسازی دروس از کدام دانشگاه‌ها یا شیوه‌های آموزشی مجاز نیست؟,تطبیق واحدهای درسی آموزشکده‌های فنی و حرفه‌ای و مؤسساتی که از طریق سهمیه‌های غیر سراسری پذیرش می‌کنند، و همچنین دوره‌های نیمه‌حضوری، مؤسسات غیرانتفاعی، دانشگاه آزاد و پیام‌نور برای معادلسازی ممنوع است.
تنظیم تقویم آموزشی دانشگاه بر عهده چه واحدی است؟,متولی تنظیم تقویم آموزشی دانشگاه در هر نیمسال، مدیریت برنامه‌ریزی و سنجش آموزشی دانشگاه است و مفاد آن برای همه لازم‌الاجراست.
ارزشیابی استاد توسط دانشجویان در چه هفته‌هایی انجام می‌شود؟,بر اساس تقویم آموزشی، هفته سیزدهم و چهاردهم هر نیمسال به عنوان هفته ارزشیابی دانشجویان از اساتید تعیین شده است. عدم انجام به‌موقع ارزشیابی باعث می‌شود ثبت‌نام نیمسال بعد دانشجو با حداقل ۴ ساعت تأخیر همراه شود.
حداکثر مدت مجاز تحصیل در دوره کارشناسی پیوسته چند نیمسال است؟,مدت مجاز تحصیل در دوره کارشناسی پیوسته ۸ نیمسال، در دوره کارشناسی ناپیوسته ۴ نیمسال، و در دوره‌های کاردانی (پیوسته و ناپیوسته) نیز ۴ نیمسال است.
حداقل مدت مجاز برای فارغ‌التحصیلی در کارشناسی پیوسته چند نیمسال است؟,حداقل مدت مجاز برای دانش‌آموختگی در دوره کارشناسی پیوسته ۶ نیمسال تحصیلی است.
امکان تمدید سنوات مجاز تحصیلی چگونه است؟,دانشگاه اختیار دارد مدت مجاز تحصیل را برای دوره کاردانی و کارشناسی ناپیوسته حداکثر ۱ نیمسال، و برای کارشناسی پیوسته حداکثر ۲ نیمسال افزایش دهد. تمدید سنوات بار اول منوط به مجوز مدیر گروه آموزشی و بار دوم منوط به تأیید شورای آموزشی دانشکده است.
آیا تمدید سنوات هزینه دارد؟,اگر افزایش سنوات از نظر دانشگاه موجه نباشد، دانشجو باید هزینه آموزش را به صورت نوبت دوم (شبانه) بپردازد. برای کارشناسی پیوسته ورودی ۱۴۰۱ و قبل، تمدید بار اول رایگان است؛ برای ورودی ۱۴۰۲ و بعد، با شهریه خواهد بود. تمدید بار دوم برای همه دانشجویان کارشناسی پیوسته با شهریه است.
سنوات ارفاقی چیست و چقدر است؟,کمیسیون بررسی موارد خاص دانشگاه می‌تواند در صورت موجه بودن درخواست و رفع منع نظام وظیفه (برای دانشجویان پسر)، یک نیمسال دیگر (با تعرفه نوبت دوم و شهریه) به سنوات دانشجو اضافه کند. معافیت تحصیلی در دوره کارشناسی ۵ سال است.
آیا تحصیل همزمان در دو دانشگاه مجاز است؟,تحصیل همزمان دانشجوی دوره کاردانی و کارشناسی به شیوه حضوری در کلیه دانشگاه‌ها (دولتی و غیردولتی) ممنوع است. اما دانشجوی کارشناسی می‌تواند همزمان در دوره‌های غیرحضوری کاردانی یا کارشناسی دیگر تحصیل کند، هرچند به مدرک رسمی نمی‌انجامد.
حداقل نمره قبولی در هر درس و حداقل میانگین قابل قبول در هر نیمسال چقدر است؟,حداقل نمره قبولی در هر درس ۱۰ از ۲۰ است و حداقل میانگین کل قابل قبول در هر نیمسال ۱۲ است. چنانچه میانگین نمرات دانشجو در یک نیمسال کمتر از ۱۲ باشد، آن نیمسال مشروط تلقی می‌شود.
دانشجو بعد از چند نیمسال مشروطی از تحصیل محروم می‌شود؟,دانشجوی دوره کاردانی و کارشناسی ناپیوسته پس از دو نیمسال مشروطی و دانشجوی کارشناسی پیوسته پس از سه نیمسال مشروطی (متوالی یا متناوب)، از ادامه تحصیل محروم می‌گردد.
حداقل نمره قبولی در دروس صلاحیت معلمی چقدر است؟,حداقل نمره قبولی علمی در دروس صلاحیت معلمی ۱۲ است.
ادامه تحصیل دانشجوی مشروط برای بار اول با اجازه چه کسی است؟,ادامه تحصیل دانشجوی مشروط برای بار اول منوط به مجوز مدیر گروه آموزشی، برای بار دوم منوط به مجوز شورای آموزشی دانشکده، و برای دانشجوی «اخراج مشروط» (بیش از دو مشروطی) منوط به تأیید کمیسیون بررسی موارد خاص دانشگاه است.
بعد از مشروطی، حداکثر واحد قابل اخذ در نیمسال بعد چقدر است؟,تعداد واحدهای درسی قابل اخذ در نیمسال پس از مشروطی، برای دانشجویان ورودی ۱۴۰۱ و ماقبل ۱۴ واحد و برای دانشجویان ورودی ۱۴۰۲ و بعد از آن ۱۶ واحد خواهد بود.
حداقل و حداکثر واحد قابل اخذ در هر نیمسال تحصیلی چقدر است؟,انتخاب حداقل ۱۲ واحد درسی در هر نیمسال الزامی است. حداکثر واحد قابل اخذ در هر نیمسال عادی ۲۰ واحد و در بازه تابستان ۶ واحد است.
حداکثر واحد قابل اخذ در هر نیمسال چقدر است؟,حداکثر واحد قابل اخذ در هر نیمسال عادی ۲۰ واحد است (در بازه تابستان ۶ واحد). حداقل واحد قابل انتخاب نیز ۱۲ واحد است. این سقف برای دانشجوی ممتاز (میانگین ۱۷ به بالا) تا ۲۴ واحد و برای دانشجوی ترم آخر نیز تا ۲۴ واحد افزایش می‌یابد.
دانشجوی ممتاز چند واحد می‌تواند اخذ کند؟,اگر میانگین نمرات دانشجو در یک نیمسال حداقل ۱۷ باشد، با تأیید گروه آموزشی می‌تواند در نیمسال بعد حداکثر تا ۲۴ واحد درسی اخذ کند.
دانشجوی ترم آخر چند واحد می‌تواند اخذ کند؟,در نیمسال آخر که دانشجو تا ۲۴ واحد درسی باقیمانده دارد، می‌تواند صرف‌نظر از میانگین کل (مشروط به اینکه کمتر از ۱۰ نباشد) و وضعیت مشروطی، ۲۴ واحد درسی اخذ کند.
حداکثر واحد قابل اخذ برای دانشجوی کارشناسی دبیری با لحاظ دروس صلاحیت معلمی چقدر است؟,دانشجوی عادی: ۲۰ واحد رشته + ۵ واحد صلاحیت معلمی = ۲۵ واحد. دانشجوی مشروط ورودی قبل از ۱۴۰۱: ۱۴ واحد رشته + ۵ واحد صلاحیت معلمی = ۱۹ واحد. دانشجوی مشروط ورودی بعد از ۱۴۰۲: ۱۶ واحد رشته + ۵ واحد صلاحیت معلمی = ۲۱ واحد. دانشجوی ممتاز یا ترم آخر: ۲۴ واحد رشته + ۵ واحد صلاحیت معلمی = ۲۹ واحد.
در بازه ترمیم (حذف و اضافه) چه محدودیتی برای واحدها وجود دارد؟,دانشجو می‌تواند در بازه ترمیم دروس انتخابی خود را اصلاح کند، مشروط بر اینکه تعداد واحدهای انتخابی از حدود مقرر (حداقل ۱۲ و حداکثر ۲۰ واحد) تجاوز نکند.
تأخیر در انتخاب واحد چه پیامدی دارد؟,دانشجویانی که بعد از زمان حذف و اضافه تا یک هفته انتخاب واحد کنند، منوط به پرداخت جریمه مصوب هیأت رئیسه دانشگاه و پذیرش استاد مربوط خواهد بود. در غیر این صورت نیمسال حذف می‌شود.
شرایط استفاده از معرفی به استاد (تک‌درس) چیست؟,اگر برای دانش‌آموختگی دانشجو حداکثر دو درس (حداکثر ۴ واحد) باقی مانده باشد، با تأیید گروه آموزشی می‌تواند آن دو درس را در نیمسال اصلی یا بازه تابستان به‌صورت معرفی به استاد اخذ کند. (شرط حداقل ۴ واحد برای ورودی ۱۴۰۱ و قبل از آن اعمال نمی‌شود.)
اگر دانشجو در امتحان تک‌درس (معرفی به استاد) قبول نشود چه اتفاقی می‌افتد؟,دانشجویانی که در امتحان تک‌درس موفق به کسب نمره قبولی در همه یا بعضی دروس نشوند، ملزم به حضور در کلاس‌های آن نیمسال و شرکت در امتحان پایان‌ترم می‌شوند و آن نیمسال جزو سنوات تحصیلی محسوب می‌گردد.
آیا درس کارآموزی اجباری است و معادل واحدی آن چقدر است؟,برای رشته‌هایی که کارآموزی در سرفصل آن‌ها پیش‌بینی شده، اخذ این درس اجباری است. معادل واحد کارآموزی بر اساس ساعت: ۱۲۰ یا ۱۳۰ ساعت معادل ۱ واحد، ۲۴۰ ساعت معادل ۲ واحد، و ۳۶۰ ساعت معادل ۳ واحد است.
مهلت ثبت نمره کارآموزی چه زمانی است؟,آخرین مهلت ثبت نمره کارآموزی برای دانشجویانی که درس را در نیمسال اول اخذ کرده‌اند تا ۱۵ اسفندماه، برای نیمسال دوم تا ۳۱ شهریورماه، و برای بازه تابستان نیز تا ۳۱ شهریور همان سال است.
پروژه کارشناسی چگونه ارزیابی می‌شود؟,دانشجویان کارشناسی موظف به دفاع از پروژه کارشناسی در حضور استاد پروژه و یک داور تعیین‌شده توسط گروه هستند. نحوه دفاع می‌تواند به‌صورت ارائه شفاهی، پوستر یا شکل دیگر باشد.
آیا امکان تمدید پروژه کارشناسی وجود دارد؟,اگر دانشجو تا پایان نیمسال موفق به اتمام پروژه نشود، می‌تواند درس را فقط برای یک نیمسال دیگر تمدید کند. دانشجوی ترم آخر امکان تمدید پروژه را ندارد.
حذف اضطراری درس چه شرایطی دارد؟,دانشجو می‌تواند با موافقت دانشگاه، فقط یک درس نظری را حذف اضطراری کند، آن‌هم یک هفته قبل از شروع امتحانات پایان نیمسال. حذف دروس عملی، دروس هم‌نیاز و پیش‌نیاز مجاز نیست و با حذف درس، واحدهای باقیمانده دانشجو نباید از ۱۲ واحد کمتر شود.
حذف پزشکی درس چگونه انجام می‌شود؟,دانشجویی که به علت بیماری موفق به شرکت در امتحان پایان نیمسال نشود، باید حداکثر تا ۴۸ ساعت بعد از امتحان با بارگذاری مدارک معتبر پزشکی در سامانه، درخواست حذف پزشکی ثبت کند. تشخیص موجه بودن بیماری با کمیسیون پزشکی دانشگاه است.
آیا بیماری‌های ساده مثل سرماخوردگی برای حذف پزشکی کافی است؟,خیر، بیماری‌های سرپایی با علائم جزئی مانند سرماخوردگی، آنفلوانزا یا سردرد، دلیل موجهی برای غیبت در امتحان یا حذف پزشکی محسوب نمی‌شوند، مگر منجر به بستری شدن دانشجو در روز امتحان شوند یا کمیسیون پزشکی آن را جدی و ناتوان‌کننده تشخیص دهد.
حذف کامل تمام دروس یک نیمسال (حذف ترم) چه شرایطی دارد؟,در شرایط خاص، حذف تمام دروس یک نیمسال با رعایت سنوات مجاز و تأیید شورای آموزشی و تحصیلات تکمیلی دانشگاه امکان‌پذیر است. درخواست باید حداکثر تا یک هفته قبل از شروع امتحانات ثبت شود و این حذف با احتساب در سنوات خواهد بود.
آیا دانشجوی متعهد خدمت می‌تواند رشته یا دانشگاه خود را تغییر دهد؟,خیر، تغییر دانشگاه، رشته و گرایش قبولی و سهمیه خدمتی دانشجویان متعهد خدمت تحت هر شرایطی (تأهل، فوت والدین، تکفل و غیره) مجاز نیست.
آیا انتقال از سایر دانشگاه‌ها به دانشگاه شهید رجایی ممکن است؟,خیر، با توجه به اینکه تمام ظرفیت روزانه دانشگاه به متعهدین خدمت آموزش و پرورش تعلق دارد، انتقال دانشجویان از سایر دانشگاه‌ها به دانشگاه تربیت دبیر شهید رجایی ممنوع است.
شرایط تغییر رشته برای دانشجوی کاردانی یا کارشناسی ناپیوسته غیردبیری چیست؟,دانشجو باید نمره آزمون سراسری‌اش کمتر از نمره آخرین فرد پذیرفته‌شده در رشته مقصد نباشد، ادامه تحصیل در رشته جدید از نظر مقررات بلامانع باشد، بین یک‌ششم تا دو‌سوم واحدهای دوره را گذرانده باشد، و در کل دوره فقط یک‌بار تغییر رشته داده باشد.
آیا تغییر رشته در دوره کاردانی پیوسته و کارشناسی ناپیوسته امکان دارد؟,خیر، تغییر رشته دانشجو در دوره کاردانی پیوسته و کارشناسی ناپیوسته ممنوع است.
شرایط دانشجوی مهمان برای رفتن به دانشگاه دیگر چیست؟,دانشجویان متقاضی مهمانی باید حداقل دو نیمسال تحصیلی را در دانشگاه مبدأ با میانگین کل حداقل ۱۳ گذرانده باشند و در طول ماه اردیبهشت هر سال، درخواست خود را در سامانه سجاد وزارت علوم برای دو نیمسال مهمانی ثبت کنند.
سقف پذیرش دانشجویان مهمان در هر سال تحصیلی چقدر است؟,سقف پذیرش دانشجویان مهمان در هر سال تحصیلی برای کلیه مؤسسات دولتی، ده درصد دانشجویان ورودی همان سال تحصیلی است.
